S. No.,State Name,No. of Operational PCS
1,Andaman & Nicobar,3
2,Andhra Pradesh,327
3,Arunachal Pradesh,9
4,Assam,86
5,Bihar,124
6,Chandigarh,12
7,Chhattisgarh,149
8,DNH and DD,1
9,Delhi,1886
10,Goa,113
11,Gujarat,476
12,Haryana,377
13,Himachal Pradesh,44
14,Jammu and Kashmir,47
15,Jharkhand,135
16,Karnataka,1041
17,Kerala,852
18,Lakshadweep,1
19,Madhya Pradesh,341
20,Maharashtra,3079
21,Manipur,17
22,Meghalaya,21
23,Nagaland,6
24,Odisha,198
25,Puducherry,23
26,Punjab,158
27,Rajasthan,500
28,Sikkim,2
29,Tamil Nadu,643
30,Telangana,481
31,Tripura,18
32,Uttar Pradesh,582
33,Uttarakhand,76
34,West Bengal,318
